,text,label
59,AsyncRAT Server N/A N/A AsyncRAT Server ,0
60,DcRat CN DcRat By qwqdanchun MAYO ,0
61,forenzik.kz KZ NN Fern forenzik.kz ,0
62,localhost AU Internet Widgits Pty Ltd localhost ,0
63,loaste.com US Let's Encrypt R3 ,0
64,N/A US Dis N/A ,0
65,localhost AU Internet Widgits Pty Ltd localhost ,0
66,N/A US Dis N/A ,0
67,AsyncRAT Server N/A N/A AsyncRAT Server ,0
68,wizardoz.club US Let's Encrypt Let's Encrypt Authority X3 ,0
69,N/A AU Internet Widgits Pty Ltd N/A ,0
70,AsyncRAT Server N/A N/A AsyncRAT Server ,0
71,N/A US Dis N/A ,0
72,BitRAT N/A N/A BitRAT ,0
73,3a60dc39.top US Let's Encrypt R3 ,0
74,Quasar Server CA N/A N/A Quasar Server CA ,0
75,yammz N/A N/A yammz ,0
76,example.com GB Global Security example.com ,0
77,N/A xx Default Company Ltd N/A ,0
78,BitRAT N/A N/A BitRAT ,0
79,prntscreen.pictures US Let's Encrypt Let's Encrypt Authority X3 ,0
80,AsyncRAT Server N/A N/A AsyncRAT Server ,0
81,mystaticdate.com US Let's Encrypt R3 ,0
82,N/A AU Internet Widgits Pty Ltd N/A ,0
83,jquery.com US jQuery jquery.com ,0
84,localhost AU Internet Widgits Pty Ltd localhost ,0
85,hmiu.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
86,ams.mdx-trd.kz US Let's Encrypt Let's Encrypt Authority X3 ,0
87,orzamorza.com US Let's Encrypt Let's Encrypt Authority X3 ,0
88,AsyncRAT Server N/A N/A AsyncRAT Server ,0
89,N/A XX Default Company Ltd N/A ,0
90,nashrepouya.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
91,richiealvin20202.ddns.net US Let's Encrypt Let's Encrypt Authority X3 ,0
92,bbbcleaner.at US Let's Encrypt Let's Encrypt Authority X3 ,0
93,itonde9swheca.meveressecodbi.sv CV Iasecea Pordthe SCOP itonde9swheca.meveressecodbi.sv ,0
94,N/A US Dis N/A ,0
95,DcRat CN DcRat By qwqdanchun DcRat Server ,0
96,ecb-european.info US Let's Encrypt Let's Encrypt Authority X3 ,0
97,gogowormdealer.top US Let's Encrypt R3 ,0
98,BitRAT N/A N/A BitRAT ,0
99,cocogzy.ddns.net US Let's Encrypt Let's Encrypt Authority X3 ,0
100,lkbyae.org DE Qtibmnz Tedmehou LLC. lkbyae.org ,0
101,microsoft.com US Private microsoft.com ,0
102,AsyncRAT Server N/A N/A AsyncRAT Server ,0
103,Predgqupe.Cuvishifolicha.trade UY Fomikerd PEEC Predgqupe.Cuvishifolicha.trade ,0
104,localhost GB MyCompany Ltd. localhost ,0
105,* XX 1 * ,0
106,N/A US Dis N/A ,0
107,localhost AU Internet Widgits Pty Ltd localhost ,0
108,fuke N/A N/A fuke ,0
109,result.loseyourip.com US Let's Encrypt Let's Encrypt Authority X3 ,0
110,AsyncRAT Server N/A N/A AsyncRAT Server ,0
111,texestet.ru US Let's Encrypt Let's Encrypt Authority X3 ,0
112,UnscaredLoader Server CA N/A N/A UnscaredLoader Server CA ,0
113,PrivateRAT54342 N/A N/A PrivateRAT54342 ,0
114,server N/A N/A server ,0
115,domain.com US My Company Name LTD. domain.com ,0
116,localhost GB MyCompany Ltd. localhost ,0
117,* XX 1 * ,0
118,giprobiotic.com US Let's Encrypt Let's Encrypt Authority X3 ,0
119,N/A xx Default Company Ltd N/A ,0
120,vuinuzhz.com N/A N/A vuinuzhz.com ,0
121,N/A XX Default Company Ltd N/A ,0
122,DcRat CN DcRat By qwqdanchun Cookies ,0
123,azuredbupdate.xyz AT ZeroSSL ZeroSSL RSA Domain Secure Site CA ,0
124,N/A XX Default Company Ltd N/A ,0
125,riighu4fg.pw US Let's Encrypt Let's Encrypt Authority X3 ,0
126,AsyncRAT Server N/A N/A AsyncRAT Server ,0
